"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01072","Shutesbury","MA","Greenfield Town, MA","""Greenfield Town, MA""",,0.810688405797101,,,,234300,-0.255427841634738,0.774193548387097,,38.6,0.0648464163822526,0.157894736842105,100
"Zip","01073","Southampton","MA","Springfield, MA","""Springfield, MA""",,4.10024154589372,100,,,268900,0.0744324525493115,1.81749337372208,0.0191111937523243,9.9,0.0474100087796313,0.0740740740740741,101.5
"Zip","01075","South Hadley","MA","Springfield, MA","""Springfield, MA""",,2.86005434782609,75,,,202500,0.148367952522255,1.70768458061276,0.0178419753086421,21.8,0.0859896219421794,0.0344827586206897,101.5
"Zip","01077","Southwick","MA","Springfield, MA","""Springfield, MA""",,6.02506038647343,80,,2.0877,228900,0.438788942518649,2.96896086369771,0.0170423765836609,10.1,0.0688073394495413,0.114285714285714,112.5
"Zip","01080","Three Rivers","MA","Springfield, MA","""Springfield, MA""",,2.67889492753623,,,,155000,0.193923723335488,0.584036340038936,0.0195935483870968,14.9,0.174468085106383,0.0731707317073171,112.5
"Zip","01081","Wales","MA","Springfield, MA","""Springfield, MA""",,3.86548913043478,,,,175700,-0.340328984685196,-1.40291806958474,0.0139271485486625,27.5,0.117647058823529,0,112.5
"Zip","01082","Town of Ware","MA","Springfield, MA","""Springfield, MA""",,2.54604468599034,100,,2.6127,176000,-0.170164492342598,1.79294389820706,0.0191647727272728,31.1,0.0913705583756345,0.150793650793651,101.5
"Zip","01083","Town of Warren","MA","Worcester, MA","""Worcester, MA-CT""",,0.836352657004831,100,,113.0494,173600,-0.458715596330275,3.76569037656904,0.0249251152073733,337.1,0.0895522388059701,0.111111111111111,103
"Zip","01085","Westfield","MA","Springfield, MA","""Springfield, MA""",,2.9008152173913,100,,4.0364,212200,0.236183278223902,2.06830206830207,0.0185673892554195,30.5,0.0737427946730272,0.091644204851752,99
"Zip","01089","West Springfield","MA","Springfield, MA","""Springfield, MA""",,4.45199275362319,84.62,,3.9196,198000,0.0505305709954523,2.43145369891361,0.0201969696969697,20,0.0769230769230769,0.0748031496062992,112.5
"Zip","01095","Town of Wilbraham","MA","Springfield, MA","""Springfield, MA""",,5.62122584541063,100,,,262900,0.420168067226891,2.09708737864078,0.0195435526816279,25.2,0.0786749482401656,0.0736842105263158,112.5
"Zip","01096","Williamsburg","MA","Springfield, MA","""Springfield, MA""",,2.65700483091787,,,,242000,-0.206185567010309,2.23912125052809,0.0191776859504131,22.9,0.0476190476190476,0.0714285714285714,101.5
"Zip","01098","Worthington","MA","Springfield, MA","""Springfield, MA""",,1.92179951690821,100,,,237900,0.0841396718552798,1.01910828025478,0.0187473728457335,54.8,0.0511363636363636,0.222222222222222,101.5
"Zip","01104","Springfield","MA","Springfield, MA","""Springfield, MA""",,0.692179951690821,80,,6.4446,114400,-0.174520069808028,2.78526504941599,0.022229020979021,76.9,0.238377392889699,0.105162523900574,110
"Zip","01105","Springfield","MA","Springfield, MA","""Springfield, MA""",,1.92934782608696,,,,92500,0.434310532030402,8.56807511737089,0.0154594594594595,120.7,0.238095238095238,0.0666666666666667,110
"Zip","01106","Longmeadow","MA","Springfield, MA","""Springfield, MA""",,7.4056461352657,85.71,,1.0117,319900,0.282131661442006,2.4991989746876,0.0204720225070334,22.5,0.0796683489545782,0.0271493212669683,112.5
"Zip","01107","Springfield","MA","Springfield, MA","""Springfield, MA""",,0.466485507246377,,,,117800,-0.338409475465313,2.43478260869565,0.0204414261460102,101,0.208791208791209,0.0921052631578947,110
"Zip","01108","Springfield","MA","Springfield, MA","""Springfield, MA""",,0.794836956521739,42.86,,10.5937,132400,0.455235204855842,4.00628436763551,0.024025679758308,91.8,0.216053108026554,0.106145251396648,110
"Zip","01109","Springfield","MA","Springfield, MA","""Springfield, MA""",,0.46875,75,,16.1997,111400,0,3.62790697674419,0.0252962298025134,108,0.228191000918274,0.134808853118712,110
"Zip","01118","Springfield","MA","Springfield, MA","""Springfield, MA""",,1.07563405797101,50,,5.5164,148800,0.269541778975741,4.05594405594406,0.0227755376344085,31.8,0.163457760314342,0.0985576923076923,94
"Zip","01119","Springfield","MA","Springfield, MA","""Springfield, MA""",,0.847675120772947,80,,8.5531,137400,-0.145348837209302,2.46085011185682,0.0228602620087337,55.1,0.193952033368092,0.10752688172043,110
"Zip","01128","Springfield","MA","Springfield, MA","""Springfield, MA""",,4.96225845410628,,,,164800,0.733496332518337,2.36024844720497,0.0190412621359224,26.3,0.106312292358804,0.078125,110
"Zip","01129","Springfield","MA","Springfield, MA","""Springfield, MA""",,3.79679951690821,,,,151700,0.463576158940397,3.54948805460751,0.0239881344759394,27.4,0.14359733530718,0.123711340206186,110
"Zip","01151","Springfield","MA","Springfield, MA","""Springfield, MA""",,1.81461352657005,100,,,115100,-0.0868055555555556,4.73157415832575,0.0252910512597742,60.6,0.208474576271186,0.130081300813008,110
"Zip","01201","Pittsfield","MA","Pittsfield, MA","""Pittsfield, MA""",,3.02536231884058,100,,1.9889,151700,0.330687830687831,4.33287482806052,0.00413315754779164,33,0.15213082259663,0.0542888165038002,94
"Zip","01220","Town of Adams","MA","Pittsfield, MA","""Pittsfield, MA""",,1.43795289855072,0,,5.4089,130700,-0.152788388082506,1.1609907120743,0.00644223412394807,25.2,0.160729800173762,0.0432432432432432,146
"Zip","01223","Becket","MA","Pittsfield, MA","""Pittsfield, MA""",,4.837711352657,100,,,220700,-0.180913613749435,0.684306569343066,0.00804712279111919,24.4,0.0893719806763285,0.027027027027027,146
"Zip","01225","Cheshire","MA","Pittsfield, MA","""Pittsfield, MA""",,5.72614734299517,100,,,195900,0.0510725229826353,4.25758382118148,0.00826952526799385,17,0.116104868913858,0.032258064516129,146
"Zip","01226","Dalton","MA","Pittsfield, MA","""Pittsfield, MA""",,2.6298309178744,66.67,,,173200,0.0577700751010976,4.14912808177992,0.00354503464203226,32.9,0.143755615453729,0.0375,146
"Zip","01235","Hinsdale","MA","Pittsfield, MA","""Pittsfield, MA""",,1.4651268115942,,,57.8035,208700,-0.476871721506915,0.626808100289296,0.00910397700047905,24.9,0.102230483271375,0.0727272727272727,146
"Zip","01237","Lanesboro","MA","Pittsfield, MA","""Pittsfield, MA""",,4.25951086956522,,,,215100,-0.139275766016713,-0.554785020804438,0.00844723384472346,17.2,0.117782909930716,0.0196078431372549,146
"Zip","01238","Town of Lee","MA","Pittsfield, MA","""Pittsfield, MA""",,3.57110507246377,100,,,218400,-0.501138952164009,-3.44827586206897,0.00583333333333336,21.3,0.100478468899522,0.0317460317460318,146
"Zip","01240","Town of Lenox","MA","Pittsfield, MA","""Pittsfield, MA""",,3.57563405797101,,,,323500,-0.338878619839803,-6.01394538059268,0.000389489953632083,41.4,0.0825688073394495,0,146
"Zip","01245","Monterey","MA","Pittsfield, MA","""Pittsfield, MA""",,6.51419082125604,100,,,459700,-0.562405364481938,-4.20921025213586,-0.00342179682401567,3.2,0,0,146
"Zip","01247","North Adams","MA","Pittsfield, MA","""Pittsfield, MA""",,1.24773550724638,33.33,,6.7223,133600,-0.224047796863331,0.526711813393529,0.0074326347305389,34.4,0.13216957605985,0.0471698113207547,146
"Zip","01253","Otis","MA","Pittsfield, MA","""Pittsfield, MA""",,6.9399154589372,100,,,302700,0.0330469266358229,-1.33637548891786,0.00751238850346869,17.3,0.0487804878048781,0,146
"Zip","01254","Richmond","MA","Pittsfield, MA","""Pittsfield, MA""",,5.21437198067633,50,,,381800,-0.391338377250196,3.80641653072322,0.0112179151388161,13.6,0.0862068965517241,0,146
"Zip","01255","Sandisfield","MA","Pittsfield, MA","""Pittsfield, MA""",,3.93040458937198,100,,,262300,-0.455407969639469,1.98289269051322,0.0101334349980937,20.3,0.0581395348837209,0.2,146
"Zip","01257","Sheffield","MA","Pittsfield, MA","""Pittsfield, MA""",,6.66364734299517,100,,,271500,-0.0368188512518409,1.19269474468878,0.00708287292817689,31,0.0502793296089385,0,146
